event_index,crate7_trigger,crate7_tcp_fill,crate7_gpu_fill,crate8_trigger,crate8_tcp_fill,crate8_gpu_fill,filename
1,NA,NA,NA,NA,NA,NA,run00322_00030.mid.lz4
2,747801,26904,26904,748313,27416,27416,run00322_00030.mid.lz4
3,747802,26905,26905,748314,27417,27417,run00322_00030.mid.lz4
4,747803,26906,26906,748315,27418,27418,run00322_00030.mid.lz4
5,747804,26907,26907,748316,27419,27419,run00322_00030.mid.lz4
6,747805,26908,26908,748317,27420,27420,run00322_00030.mid.lz4
7,747806,26909,26909,748318,27421,27421,run00322_00030.mid.lz4
8,747807,26910,26910,748319,27422,27422,run00322_00030.mid.lz4
9,747808,26911,26911,748320,27423,27423,run00322_00030.mid.lz4
10,747809,26912,26912,748321,27424,27424,run00322_00030.mid.lz4
11,747810,26913,26913,748322,27425,27425,run00322_00030.mid.lz4
12,747811,26914,26914,748323,27426,27426,run00322_00030.mid.lz4
13,747812,26915,26915,748324,27427,27427,run00322_00030.mid.lz4
14,747813,26916,26916,748325,27428,27428,run00322_00030.mid.lz4
15,747814,26917,26917,748326,27429,27429,run00322_00030.mid.lz4
16,747815,26918,26918,748327,27430,27430,run00322_00030.mid.lz4
17,747816,26919,26919,748328,27431,27431,run00322_00030.mid.lz4
18,747817,26920,26920,748329,27432,27432,run00322_00030.mid.lz4
19,747818,26921,26921,748330,27433,27433,run00322_00030.mid.lz4
20,747819,26922,26922,748331,27434,27434,run00322_00030.mid.lz4
21,747820,26923,26923,748332,27435,27435,run00322_00030.mid.lz4
22,747821,26924,26924,748333,27436,27436,run00322_00030.mid.lz4
23,747822,26925,26925,748334,27437,27437,run00322_00030.mid.lz4
24,747823,26926,26926,748335,27438,27438,run00322_00030.mid.lz4
25,747824,26927,26927,748336,27439,27439,run00322_00030.mid.lz4
26,747825,26928,26928,748337,27440,27440,run00322_00030.mid.lz4
27,747826,26929,26929,748338,27441,27441,run00322_00030.mid.lz4
28,747827,26930,26930,748339,27442,27442,run00322_00030.mid.lz4
29,747828,26931,26931,748340,27443,27443,run00322_00030.mid.lz4
30,747829,26932,26932,748341,27444,27444,run00322_00030.mid.lz4
31,747830,26933,26933,748342,27445,27445,run00322_00030.mid.lz4
32,747831,26934,26934,748343,27446,27446,run00322_00030.mid.lz4
33,747832,26935,26935,748344,27447,27447,run00322_00030.mid.lz4
34,747833,26936,26936,748345,27448,27448,run00322_00030.mid.lz4
35,747834,26937,26937,748346,27449,27449,run00322_00030.mid.lz4
36,747835,26938,26938,748347,27450,27450,run00322_00030.mid.lz4
37,747836,26939,26939,748348,27451,27451,run00322_00030.mid.lz4
38,747837,26940,26940,748349,27452,27452,run00322_00030.mid.lz4
39,747838,26941,26941,748350,27453,27453,run00322_00030.mid.lz4
40,747839,26942,26942,748351,27454,27454,run00322_00030.mid.lz4
41,747840,26943,26943,748352,27455,27455,run00322_00030.mid.lz4
42,747841,26944,26944,748353,27456,27456,run00322_00030.mid.lz4
43,747842,26945,26945,748354,27457,27457,run00322_00030.mid.lz4
44,747843,26946,26946,748355,27458,27458,run00322_00030.mid.lz4
45,747844,26947,26947,748356,27459,27459,run00322_00030.mid.lz4
46,747845,26948,26948,748357,27460,27460,run00322_00030.mid.lz4
47,747846,26949,26949,748358,27461,27461,run00322_00030.mid.lz4
48,747847,26950,26950,748359,27462,27462,run00322_00030.mid.lz4
49,747848,26951,26951,748360,27463,27463,run00322_00030.mid.lz4
50,747849,26952,26952,748361,27464,27464,run00322_00030.mid.lz4
51,747850,26953,26953,748362,27465,27465,run00322_00030.mid.lz4
52,747851,26954,26954,748363,27466,27466,run00322_00030.mid.lz4
53,747852,26955,26955,748364,27467,27467,run00322_00030.mid.lz4
54,747853,26956,26956,748365,27468,27468,run00322_00030.mid.lz4
55,747854,26957,26957,748366,27469,27469,run00322_00030.mid.lz4
56,747855,26958,26958,748367,27470,27470,run00322_00030.mid.lz4
57,747856,26959,26959,748368,27471,27471,run00322_00030.mid.lz4
58,747857,26960,26960,748369,27472,27472,run00322_00030.mid.lz4
59,747858,26961,26961,748370,27473,27473,run00322_00030.mid.lz4
60,747859,26962,26962,748371,27474,27474,run00322_00030.mid.lz4
61,747860,26963,26963,748372,27475,27475,run00322_00030.mid.lz4
62,747861,26964,26964,748373,27476,27476,run00322_00030.mid.lz4
63,747862,26965,26965,748374,27477,27477,run00322_00030.mid.lz4
